Date : 2025-02-05 15:05:41
Directory : f:\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-
Total : 63 files,  10653 codes, 706 comments, 1412 blanks, all 12771 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| Python           |         49 |      5,578 |        694 |      1,386 |      7,658 |
| CSV              |          7 |      4,952 |          0 |          7 |      4,959 |
| Excel            |          1 |         43 |          0 |          0 |         43 |
| QSS              |          1 |         21 |          0 |          3 |         24 |
| Docker           |          1 |         20 |          7 |          7 |         34 |
| Markdown         |          1 |         15 |          0 |          5 |         20 |
| pip requirements |          1 |         12 |          0 |          0 |         12 |
| Shell Script     |          1 |         11 |          5 |          4 |         20 |
| JSON             |          1 |          1 |          0 |          0 |          1 |
+------------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                           | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                              |         63 |     10,653 |        706 |      1,412 |     12,771 |
| . (Files)                                                                                                                      |          5 |         82 |         20 |         28 |        130 |
| PIMMS v1.1 files                                                                                                               |          9 |      1,156 |        196 |        286 |      1,638 |
| PIMMS v1.1 files\PIMMS v1.1.0                                                                                                  |          8 |      1,077 |        189 |        272 |      1,538 |
| PIMMS v1.1 files\PIMMS v1.2                                                                                                    |          1 |         79 |          7 |         14 |        100 |
| PIMMS v1.2                                                                                                                     |         32 |      7,756 |        301 |        711 |      8,768 |
| PIMMS v1.2 (Files)                                                                                                             |          3 |        636 |         96 |        134 |        866 |
| PIMMS v1.2\Data_output                                                                                                         |          2 |        401 |          0 |          2 |        403 |
| PIMMS v1.2\Figures                                                                                                             |          1 |         73 |          9 |         11 |         93 |
| PIMMS v1.2\import folder                                                                                                       |          5 |      2,783 |          0 |          4 |      2,787 |
| PIMMS v1.2\modules                                                                                                             |         17 |      2,013 |        189 |        545 |      2,747 |
| PIMMS v1.2\output                                                                                                              |          1 |      1,808 |          0 |          1 |      1,809 |
| PIMMS v1.2\tests                                                                                                               |          3 |         42 |          7 |         14 |         63 |
| PIMMS v1.2\tests (Files)                                                                                                       |          2 |         42 |          7 |         13 |         62 |
| PIMMS v1.2\tests\__pycache__                                                                                                   |          1 |          0 |          0 |          1 |          1 |
| PIMMS v1.3                                                                                                                     |         16 |      1,644 |        189 |        382 |      2,215 |
| PIMMS v1.3\Development Scripts                                                                                                 |          1 |        217 |         35 |         50 |        302 |
| PIMMS v1.3\Development Scripts\Peak Alignment                                                                                  |          1 |        217 |         35 |         50 |        302 |
| PIMMS v1.3\Isotopic_modeling                                                                                                   |          4 |        305 |         48 |         84 |        437 |
| PIMMS v1.3\Isotopic_modeling\Modules                                                                                           |          4 |        305 |         48 |         84 |        437 |
| PIMMS v1.3\modules                                                                                                             |         10 |      1,101 |        106 |        245 |      1,452 |
